add-c,8,10000,160000,86658883,541,0
add-c,8,100000,1600000,925135029,578,0
add-c,12,10,240,726821,3028,0
add-c,12,20,480,659850,1374,0
add-c,12,40,960,644118,670,0
add-c,12,80,1920,678622,353,0
add-c,12,100,2400,537592,223,0
add-c,12,1000,24000,21569373,898,0
add-c,12,10000,240000,206432147,860,0
add-c,12,100000,2400000,2016682722,840,0
add-yield-c,1,10,20,154145,7707,0
add-yield-c,1,20,40,160779,4019,0
add-yield-c,1,40,80,172368,2154,0
add-yield-c,1,80,160,151395,946,0
add-yield-c,1,100,200,190660,953,0
add-yield-c,1,1000,2000,610377,305,0
add-yield-c,1,10000,20000,4824604,241,0
add-yield-c,1,100000,200000,47118103,235,0
add-yield-c,2,10,40,252989,6324,0
add-yield-c,2,20,80,309760,3872,0
add-yield-c,2,40,160,206360,1289,0
add-yield-c,2,80,320,364628,1139,0
add-yield-c,2,100,400,502990,1257,0
add-yield-c,2,1000,4000,2659814,664,0
add-yield-c,2,10000,40000,28499846,712,0
add-yield-c,2,100000,400000,198532312,496,0
add-yield-c,4,10,80,395763,4947,0
add-yield-c,4,20,160,455639,2847,0
add-yield-c,4,40,320,766711,2395,0
add-yield-c,4,80,640,843863,1318,0
add-yield-c,4,100,800,1243135,1553,0
add-yield-c,4,1000,8000,9862504,1232,0
add-yield-c,4,10000,80000,132404592,1655,0
add-yield-c,4,100000,800000,1142791067,1428,0
add-yield-c,8,10,160,534251,3339,0
add-yield-c,8,20,320,827556,2586,0
add-yield-c,8,40,640,2242761,3504,0
add-yield-c,8,80,1280,4538090,3545,0
add-yield-c,8,100,1600,5340274,3337,0
add-yield-c,8,1000,16000,57789908,3611,0
add-yield-c,8,10000,160000,538325244,3364,0
add-yield-c,8,100000,1600000,5338381960,3336,0
add-yield-c,12,10,240,954014,3975,0
add-yield-c,12,20,480,1090980,2272,0
add-yield-c,12,40,960,2444501,2546,0
add-yield-c,12,80,1920,8993774,4684,0
add-yield-c,12,100,2400,12452342,5188,0
add-yield-c,12,1000,24000,123888731,5162,0
add-yield-c,12,10000,240000,1290669215,5377,0
add-yield-c,12,100000,2400000,13083148946,5451,0
